Juego                                           Peso

Mario Kart 8 Deluxe                             7 GB
Snipperclips: Cut it Out, Together              1,60 GB
Disgaea 5                                       5,92 GB
Puyo Puyo Tetris                                1,09 GB
I Am Setsuna                                    1,40 GB
Nobunaga’s Ambition                             5 GB
Air Conflicts: Secret Wars                      1,5 GB
Air Conflicts: Pacific Carriers                 1,4 GB
Block-a-Pix Deluxe                              0,082 GB
Cuphead                                         3,3 GB
Gems of War                                     0,44 GB
Inferno Climber: Reborn                         1,7 GB
Istanbul: Digital Edition                       0.32 GB
TOTAL                                           30,752 GB


Se Eliminaron los juegos:

The Legend of Zelda: Breath of the Wild         13,4 GB
Dragon Quest Heroes I·II                        32 GB
